Category,Metric,First_Value,Last_Value,Absolute_Change,Percent_Change
Failures,bus_factor_norm,0.1066037735849056,0.1055555555555555,-0.0010482180293500953,-0.9832841691248688
Failures,gini_repo_load,0.3957516339869281,0.4059542527702905,0.010202618783362427,2.578035794970192
Failures,bipartite_density,0.1317663817663817,0.1272224679345422,-0.004543913831839497,-3.448462172920355
Failures,knowledge_redundancy,0.1591507462981548,0.1524792968314092,-0.006671449466745583,-4.191905864046163
Failures,fc_attack_adaptive,0.1177489177489177,0.1191037735849056,0.001354855835987906,1.1506312430632588
Grew,bus_factor_norm,0.1213235294117647,0.0957207207207207,-0.025602808691044004,-21.10292110292112
Grew,gini_repo_load,0.3599134199134199,0.4434050705143882,0.0834916506009683,23.197704220379695
Grew,bipartite_density,0.1937062937062937,0.1467562134502923,-0.04695008025600139,-24.23776706356751
Grew,knowledge_redundancy,0.1339249818563577,0.1447805993432802,0.010855617486922486,8.105744974873891
Grew,fc_attack_adaptive,0.1421277997364954,0.132034632034632,-0.010093167701863387,-7.101473266015583
Healthy,bus_factor_norm,0.0436203997758266,0.0309762701067048,-0.0126441296691218,-28.98673495452208
Healthy,gini_repo_load,0.404163093196112,0.3987691815856777,-0.005393911610434288,-1.3345878684219692
Healthy,bipartite_density,0.1004875761837787,0.0702757889324049,-0.0302117872513738,-30.065196513567383
Healthy,knowledge_redundancy,0.1362119947138526,0.1089282382180683,-0.027283756495784295,-20.030362636639058
Healthy,fc_attack_adaptive,0.10557796633746,0.1046437368853206,-0.000934229452139404,-0.8848716115191273
Stagnated,bus_factor_norm,0.0830270631473438,0.0665292905504857,-0.0164977725968581,-19.87035548587376
Stagnated,gini_repo_load,0.4354069429861031,0.5242100876987881,0.08880314471268497,20.39543607266715
Stagnated,bipartite_density,0.0950394493872754,0.0711355005753739,-0.0239039488119015,-25.151607007418058
Stagnated,knowledge_redundancy,0.0400852998119004,0.0535317242301496,0.013446424418249198,33.544527498475304
Stagnated,fc_attack_adaptive,0.1167637830569251,0.1140534262485482,-0.002710356808376904,-2.3212307253316222
